Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Bahamas, The",BHS,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,4.638997,4.763419,4.732265,4.777181,4.725657,4.71359,4.651163,4.657614,4.690743,4.728534,4.828164
"Bahamas, The",BHS,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,62.1,64.05,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,19.76583,20.49733,20.74714,21.27518,21.39583,21.65082,21.6743,21.73675,21.9033,21.95968,21.81395
"Bahamas, The",BHS,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,7.789497,8.031359,7.595214,7.710584,7.613492,7.642735,7.495639,7.452057,7.582135,7.573655,8.091706
"Bahamas, The",BHS,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,2147000000,2142000000,2311000000,2285000000,2316000000,2537000000,3074000000,2930000000,3728000000,4125000000,1002000000
"Bahamas, The",BHS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,2159000000,2157000000,2333000000,2305000000,2336000000,2554000000,3091000000,2951000000,3756000000,4150000000,1007000000
"Bahamas, The",BHS,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,228000000,246000000,286000000,262000000,212000000,238000000,329000000,371000000,332000000,335000000,110000000
"Bahamas, The",BHS,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,369000000,347000000,384000000,362000000,328000000,347000000,440000000,554000000,519000000,514000000,166000000
"Bahamas, The",BHS,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,12000000,15000000,22000000,20000000,20000000,17000000,17000000,21000000,28000000,25000000,5000000
"Bahamas, The",BHS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,67.5530223954383,64.830318588268,63.4761774966965,63.5659709984739,65.6410997354632,74.7650126305566,79.6401910996496,78.4280042032136,79.0423234348996,80.3665977076924,61.0174111334939
